id_route,type_route,distance,id_noeud1,id_noeud2
18697,b'D\xe9partementale',2.1,15672,15610
18708,b'D\xe9partementale',2.0,15610,15672
18711,b'D\xe9partementale',0.7,15612,15646
18714,b'D\xe9partementale',0.30000000000000004,15615,15624
18715,b'D\xe9partementale',17.4,15617,16145
18716,b'D\xe9partementale',8.600000000000001,15617,16003
18717,b'D\xe9partementale',0.9,15618,15621
18718,b'D\xe9partementale',13.3,15618,15892
18719,b'D\xe9partementale',0.0,15619,15621
18721,b'D\xe9partementale',2.9,15621,15739
18724,b'D\xe9partementale',0.8,15624,15632
18725,b'D\xe9partementale',0.3,15624,15636
18726,b'D\xe9partementale',1.8,15625,15668
18727,b'D\xe9partementale',5.9,15625,15699
18730,b'D\xe9partementale',1.9,15628,15660
18731,b'D\xe9partementale',15.6,15628,16247
18735,b'D\xe9partementale',8.1,15632,15904
18739,b'D\xe9partementale',19.4,15636,16092
18740,b'D\xe9partementale',16.3,15636,16231
18744,Sans objet,1.2,15640,15675
18745,b'D\xe9partementale',4.3,15640,15733
18750,b'D\xe9partementale',2.6,15646,15665
18751,b'D\xe9partementale',3.0000000000000004,15646,15737
18753,b'D\xe9partementale',16.3,15648,15896
18754,b'D\xe9partementale',1.5,15648,15673
18759,b'D\xe9partementale',3.1,15653,15756
18760,Sans objet,2.8,15653,15770
18762,b'D\xe9partementale',0.1,15655,15656
18763,b'D\xe9partementale',0.8,15656,15657
18764,b'D\xe9partementale',10.9,15656,16098
18765,b'D\xe9partementale',18.7,15657,16054
18768,b'D\xe9partementale',19.0,15660,16042
18773,b'D\xe9partementale',20.200000000000003,15665,15809
18774,b'D\xe9partementale',2.7,15666,15764
18775,b'D\xe9partementale',1.0,15667,15676
18776,b'D\xe9partementale',3.4,15667,15811
18777,b'D\xe9partementale',3.6,15668,15834
18778,b'D\xe9partementale',1.6,15669,15717
18779,b'D\xe9partementale',3.7,15669,15779
18782,b'D\xe9partementale',2.5,15672,15762
18783,b'D\xe9partementale',15.8,15673,16395
18785,Sans objet,1.3,15675,15706
18786,b'D\xe9partementale',18.099999999999998,15675,16398
18787,b'D\xe9partementale',1.7,15676,15719
18788,Autoroute,4.8,15676,15884
18792,b'D\xe9partementale',2.6,15680,15684
