id_noeud,lat,lon,id_station,lat_station,lon_station,distance_station,type_station,number_route,path1,path2
21908,628472.0,6567539.0,0,0,0,0,,4,26152,26356
21912,564083.0,6567333.0,0,0,0,0,,3,26330,26340
21913,383490.0,6567285.0,0,0,0,0,,4,26188,26349
21914,897414.0,6567257.0,0,0,0,0,,4,26079,26360
21916,939262.0,6567072.0,0,0,0,0,,4,26338,26342
21922,641284.0,6566856.0,0,0,0,0,,4,26171,26206
21929,898739.0,6566685.0,0,0,0,0,,4,26061,26371
21933,452256.0,6566475.0,0,0,0,0,,4,26148,26282
21935,471569.0,6566366.0,0,0,0,0,,3,25944,26293
21942,956197.0,6566230.0,0,0,0,0,,3,26294,26402
21944,382801.0,6566147.0,0,0,0,0,,3,26350,26369
21947,491631.0,6566113.0,0,0,0,0,,4,25480,26408
21949,766153.0,6566072.0,0,0,0,0,,3,26310,26412
21951,641270.0,6566028.0,0,0,0,0,,3,26381,26415
21953,955974.0,6566001.0,0,0,0,0,,3,26302,26402
21961,840255.0,6565742.0,0,0,0,0,,3,26051,26426
21962,493060.0,6565738.0,0,0,0,0,,3,25945,26428
21963,491851.0,6565728.0,0,0,0,0,,3,26408,26428
21966,904615.0,6565660.0,0,0,0,0,,3,26347,26433
21967,904530.0,6565651.0,0,0,0,0,,3,26433,26435
21968,610828.0,6565644.0,0,0,0,0,,3,26266,26437
21970,491511.0,6565601.0,0,0,0,0,,3,26409,26430
21972,655623.0,6565572.0,0,0,0,0,,3,26201,26439
21973,655887.0,6565535.0,0,0,0,0,,3,25736,26443
21974,955926.0,6565528.0,0,0,0,0,,4,26277,26419
21981,613381.0,6565377.0,0,0,0,0,,3,26437,26455
21982,869207.0,6565319.0,0,0,0,0,,4,26313,26387
21984,965825.0,6565233.0,0,0,0,0,,3,26339,26442
21988,613979.0,6565177.0,0,0,0,0,,4,26356,26357
21991,684365.0,6565136.0,0,0,0,0,,3,26145,26466
21993,884717.0,6565102.0,0,0,0,0,,4,26317,26377
21996,734981.0,6565029.0,0,0,0,0,,4,25909,26473
22003,938123.0,6564946.0,0,0,0,0,,3,26373,26482
22008,491315.0,6564815.0,0,0,0,0,,3,26441,26487
22012,489950.0,6564706.0,0,0,0,0,,3,26410,26487
22013,735764.0,6564688.0,0,0,0,0,,3,26176,26474
22016,941421.0,6564659.0,0,0,0,0,,3,26324,26482
22019,735033.0,6564623.0,0,0,0,0,,3,26475,26493
22021,941405.0,6564569.0,0,0,0,0,,4,26497,26498
22024,685189.0,6564504.0,0,0,0,0,,3,26466,26505
22026,613014.0,6564446.0,0,0,0,0,,4,26463,26504
22031,612479.0,6564385.0,0,0,0,0,,4,26438,26508
22032,937580.0,6564382.0,0,0,0,0,,3,26483,26516
22039,730754.0,6564192.0,0,0,0,0,,3,26077,26473
22040,811171.0,6564187.0,0,0,0,0,,3,26353,26451
22041,697165.0,6564149.0,0,0,0,0,,4,26270,26484
22045,612788.0,6564065.0,0,0,0,0,,3,26509,26514
22046,612086.0,6564064.0,0,0,0,0,,3,26515,26531
22047,811235.0,6564056.0,0,0,0,0,,3,26448,26525
22050,939362.0,6564023.0,0,0,0,0,,4,26374,26501
22051,660290.0,6563960.0,0,0,0,0,,3,26535,26539
22053,476126.0,6563899.0,0,0,0,0,,3,26395,26541
22054,409890.0,6563891.0,0,0,0,0,,3,25972,26543
22055,410664.0,6563865.0,0,0,0,0,,4,26177,26543
22056,607411.0,6563840.0,0,0,0,0,,3,26531,26547
22058,612811.0,6563805.0,0,0,0,0,,3,26530,26550
22061,834623.0,6563787.0,0,0,0,0,,3,26426,26554
22062,612810.0,6563783.0,0,0,0,0,,3,26532,26550
22065,938415.0,6563691.0,0,0,0,0,,4,26517,26537
22066,481942.0,6563673.0,0,0,0,0,,4,26492,26534
22068,491894.0,6563650.0,0,0,0,0,,3,26488,26564
22071,395704.0,6563513.0,0,0,0,0,,3,26368,26567
22072,408977.0,6563469.0,0,0,0,0,,3,26567,26569
22075,957027.0,6563411.0,0,0,0,0,,3,26445,26573
22077,477214.0,6563392.0,0,0,0,0,,3,26541,26561
22078,476999.0,6563388.0,0,0,0,0,,3,26542,26576
22081,595958.0,6563284.0,0,0,0,0,,4,26265,26547
22085,411138.0,6563187.0,0,0,0,0,,3,26545,26586
22087,450005.0,6563127.0,0,0,0,0,,3,26392,26571
22088,671624.0,6563120.0,0,0,0,0,,3,26144,26535
22089,671788.0,6563098.0,0,0,0,0,,3,26467,26589
22090,584631.0,6563084.0,0,0,0,0,,3,26194,26591
22097,410111.0,6562800.0,0,0,0,0,,3,26546,26598
22099,977264.0,6562736.0,0,0,0,0,,3,26453,26601
22101,896091.0,6562702.0,0,0,0,0,,3,26370,26604
22102,977418.0,6562695.0,0,0,0,0,,3,26361,26601
22104,917039.0,6562596.0,0,0,0,0,,3,26348,26608
22105,896795.0,6562575.0,0,0,0,0,,3,26389,26610
22114,876540.0,6562299.0,0,0,0,0,,4,26318,26391
22115,896498.0,6562283.0,0,0,0,0,,4,26436,26604
22116,923575.0,6562190.0,0,0,0,0,,3,26049,26623
22121,934585.0,6562125.0,0,0,0,0,,3,26516,26630
22124,409421.0,6562082.0,0,0,0,0,,4,26570,26598
22132,410155.0,6561869.0,0,0,0,0,,3,26599,26634
22135,585245.0,6561780.0,0,0,0,0,,3,26580,26596
22137,549984.0,6561674.0,0,0,0,0,,4,26264,26647
22145,574716.0,6561488.0,0,0,0,0,,3,26328,26657
22150,461680.0,6561297.0,0,0,0,0,,3,26393,26595
22151,785553.0,6561292.0,0,0,0,0,,3,26643,26652
22156,463088.0,6561200.0,0,0,0,0,,3,26663,26669
22158,574234.0,6561117.0,0,0,0,0,,3,26331,26657
22160,918079.0,6561053.0,0,0,0,0,,3,26608,26671
22162,915922.0,6560994.0,0,0,0,0,,4,26435,26676
22167,566713.0,6560855.0,0,0,0,0,,3,26683,26684
22169,544904.0,6560846.0,0,0,0,0,,4,26100,26687
